Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
J5L_Link,-0.000368392999203049,0.000618450923913281,0.0630622172737465,0,0,0,0.141525893239123,0.000331037538178106,-3.84863813530558E-08,-4.39844711697344E-07,0.000241576877225469,-2.94389202216882E-06,0.000138766836036227,0,0,0,0,0,0,package://800x动态+3D/meshes/J5L_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://800x动态+3D/meshes/J5L_Link.STL,,J5-L-1,J5L,J5LJ,J5L,revolute,-0.130602302220359,0.0408655790931273,0,-1.57079632679494,-1.56938904673431,1.56417554190878,L4L_Link,0,0,1,0,0,0,0,,,,,,,,
J6L_Link,0.0280644351437543,-0.000186928527180351,0.00232692684436603,0,0,0,0.0900075391346392,8.38854018891136E-05,4.34856313242993E-07,6.69518889257193E-06,0.000149450887067754,-4.51812398837683E-08,0.000190084073463883,0,0,0,0,0,0,package://800x动态+3D/meshes/J6L_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://800x动态+3D/meshes/J6L_Link.STL,,J6-L-1,J6L,J6LJ,J6L,revolute,0,0,0.106625221147976,-1.5707963267948,-1.5641755419085,-1.57220360685557,J5L_Link,0,0,-1,0,0,0,0,,,,,,,,
J7L_Link,-0.00057501622543682,-0.0683003255487623,9.05312959455259E-05,0,0,0,0.297581006216162,0.000117736567345657,-1.36451046909325E-07,-1.74261024211618E-07,0.000135444522166005,8.27448692795834E-09,0.000143785284641927,0,0,0,0,0,0,package://800x动态+3D/meshes/J7L_Link.STL,1,1,1,1,0,0,0,0,0,0,package://800x动态+3D/meshes/J7L_Link.STL,,J7-L-1;平行夹爪-1,J7L,J7LJ,J7L,revolute,0.0757983386674323,-0.000501851827942713,0,-1.67136733160318,-1.57079631189374,-3.05191197721868,J6L_Link,0,0,-1,0,0,0,0,,,,,,,,
J1R_Link,0.0253035966296489,-0.000282156054628829,0.0435626861087144,0,0,0,0.259920806887416,0.000282470079291557,8.45884738407336E-07,-7.04896078123594E-05,0.000443784094281704,1.05206866402648E-06,0.000278710164977373,0,0,0,0,0,0,package://800x动态+3D/meshes/J1R_Link.STL,1,1,1,1,0,0,0,0,0,0,package://800x动态+3D/meshes/J1R_Link.STL,,J1-R-1,J1R,J1RJ,J1R,revolute,0.113583009912792,0,0.142481652109719,0,1.36135681655558,0,body_Link,0,0,-1,0,0,0,0,,,,,,,,
J2R_Link,2.89475084469526E-06,0.0534187331813981,-0.00161215553827175,0,0,0,0.156444058378133,0.000327610110205335,2.47036297122398E-08,-2.9601014330941E-08,0.00026529983402114,1.98303257291674E-05,0.000331828727729619,0,0,0,0,0,0,package://800x动态+3D/meshes/J2R_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://800x动态+3D/meshes/J2R_Link.STL,,J2-R-1,J2R,J2RJ,J2R,revolute,0.0404827997017002,0,0.0680999999997861,1.5707963267949,1.5707963267949,0,J1R_Link,0,0,1,0,0,0,0,,,,,,,,
J3R_Link,0.000627656924116871,0.00996342134205901,0.120829445183667,0,0,0,0.472619251905888,0.000554843533185717,9.76169930715209E-07,1.13953397138055E-06,0.000514247499089654,5.74245901288315E-06,0.000648331800867485,0,0,0,0,0,0,package://800x动态+3D/meshes/J3R_Link.STL,1,1,1,1,0,0,0,0,0,0,package://800x动态+3D/meshes/J3R_Link.STL,,J3-R-1,J3R,J3RJ,J3R,revolute,0,0.106199904473252,0,-1.5707963267949,0,0,J2R_Link,0,0,1,0,0,0,0,,,,,,,,
J4R_Link,-0.0889410715368561,0.0422868428065464,-0.000454232953524814,0,0,0,0.305146570041793,0.000444679840292901,-1.33243233420176E-05,7.32947768371619E-07,0.000273466596385753,6.76850219887618E-07,0.000270862166015495,0,0,0,0,0,0,package://800x动态+3D/meshes/J4R_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://800x动态+3D/meshes/J4R_Link.STL,,J4-R-1,J4R,J4RJ,J4R,revolute,0,0.0400000000000043,0.19943501554722,3.14159265358979,1.5707963267949,0,J3R_Link,0,0,-1,0,0,0,0,,,,,,,,
J5R_Link,-0.000615695194665717,-0.000366632645599496,0.063062151945591,0,0,0,0.141530043256966,0.000241581908463618,-8.82543112232686E-08,2.93323808201576E-06,0.000331044066212763,-4.34577275974432E-07,0.000138769681930743,0,0,0,0,0,0,package://800x动态+3D/meshes/J5R_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://800x动态+3D/meshes/J5R_Link.STL,,J5-R-1,J5R,J5RJ,J5R,revolute,-0.130869999999999,0.0400000000000005,0,1.5707963267949,0,-1.5707963267949,J4R_Link,0,0,1,0,0,0,0,,,,,,,,
J6R_Link,0.0280654629303513,5.66928905866334E-08,-0.0023267096160608,0,0,0,0.0900058596343658,8.38813505546489E-05,-6.71169126567579E-10,-6.69535263827982E-06,0.000149455223490356,-8.97122693210307E-10,0.00019008502561279,0,0,0,0,0,0,package://800x动态+3D/meshes/J6R_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://800x动态+3D/meshes/J6R_Link.STL,,J6-R-1,J6R,J6RJ,J6R,revolute,0,0,0.106625221148117,-2.6207276499976,-1.57079630572147,-2.16064014511011,J5R_Link,0,0,1,0,0,0,0,,,,,,,,
J7R_Link,-0.0683003259180162,-0.000575015733406847,-9.05306583133588E-05,0,0,0,0.297581006522054,0.00013544453021336,-1.36449279839155E-07,-8.2766205834352E-09,0.000117736564223794,1.74259734147967E-07,0.000143785276106689,0,0,0,0,0,0,package://800x动态+3D/meshes/J7R_Link.STL,1,1,1,1,0,0,0,0,0,0,package://800x动态+3D/meshes/J7R_Link.STL,,J7-R-1;平行夹爪-2,J7R,J7RJ,J7R,revolute,0.0758000000000025,0,0,1.5707963267949,0,3.14159265358979,J6R_Link,0,0,-1,0,0,0,0,,,,,,,,
